아파트,시,구,동,지번,건축년도,거래일,전용면적,층,거래금액
현대하이페리온,서울특별시,양천구,목동,916,2003.0,2020-07-03,154.05,66,240000
타워팰리스3,서울특별시,강남구,도곡동,467-29,2004.0,2020-07-25,235.74,67,542500
타워팰리스3,서울특별시,강남구,도곡동,467-29,2004.0,2020-10-27,185.622,66,380000
타워팰리스3,서울특별시,강남구,도곡동,467-29,2004.0,2021-06-24,214.967,66,458000
